,JID,RAdeg,DEdeg,z,TType,Bar,Ring,FRing,RC3
166,J115723.03+002913.89,179.346,0.488,0.048,1.0,0.0,0.0,0.0,999999
167,J120023.91+002926.39,180.1,0.491,0.026,0.0,0.0,0.0,0.0,.LX.0..
168,J120928.64+003159.79,182.37,0.534,0.02,0.0,0.0,0.0,0.0,999999
169,J122906.96+003451.89,187.28,0.582,0.024,5.0,0.0,0.0,0.0,DL...?/
170,J123108.36+003649.34,187.785,0.614,0.024,-5.0,0.0,0.0,0.0,999999
171,J123111.04+003622.42,187.797,0.607,0.024,-5.0,0.0,0.0,0.0,999999
172,J123922.43+002736.83,189.844,0.461,0.024,1.0,0.0,0.0,0.0,.LAR+*.
173,J124338.67+003249.60,190.912,0.548,0.064,1.0,0.0,0.0,0.0,999999
174,J125117.13+003113.79,192.822,0.521,0.014,99.0,0.0,0.0,0.0,999999
175,J130104.08+003424.33,195.267,0.574,0.079,1.0,0.0,0.0,0.0,999999
176,J131710.77+003139.19,199.295,0.528,0.025,4.0,0.0,0.0,0.0,999999
177,J132738.15+002654.82,201.909,0.449,0.037,4.0,0.0,0.0,0.0,999999
178,J133006.96+003034.56,202.529,0.51,0.085,-5.0,0.0,0.0,0.0,999999
179,J133708.00+002707.63,204.284,0.453,0.048,-5.0,0.0,0.0,0.0,999999
180,J134159.01+003605.31,205.496,0.602,0.048,0.0,0.0,0.0,0.0,999999
181,J135314.11+002650.14,208.309,0.448,0.025,-2.0,0.0,0.0,0.0,999999
184,J141727.96+002858.00,214.367,0.483,0.05,-5.0,0.0,0.0,0.0,999999
185,J141749.85+003039.36,214.458,0.511,0.053,-5.0,0.0,0.0,0.0,999999
186,J142556.67+003646.55,216.487,0.613,0.056,-2.0,0.0,0.0,0.0,999999
187,J143405.85+003712.29,218.525,0.621,0.031,-5.0,0.0,0.0,0.0,999999
188,J143519.72+002832.61,218.833,0.476,0.03,4.0,4.0,0.0,0.0,999999
189,J143907.14+003031.05,219.78,0.509,0.034,6.0,0.0,0.0,0.0,999999
190,J144503.29+003137.12,221.264,0.527,0.029,4.0,0.0,0.0,0.0,999999
191,J144957.38+003329.84,222.49,0.559,0.04,-5.0,0.0,0.0,0.0,999999
192,J145002.16+003443.58,222.51,0.579,0.041,-3.0,0.0,0.0,0.0,999999
194,J150647.96+003027.99,226.7,0.508,0.036,-2.0,0.0,0.0,0.0,999999
195,J152137.86+002757.68,230.408,0.467,0.029,5.0,0.0,0.0,0.0,999999
196,J152221.93+003143.66,230.592,0.529,0.053,-5.0,0.0,0.0,0.0,999999
197,J152637.66+003533.42,231.657,0.593,0.051,1.0,0.0,0.0,0.0,999999
198,J153258.03+002626.64,233.242,0.441,0.037,-5.0,0.0,0.0,0.0,999999
199,J153310.42+002926.72,233.294,0.491,0.037,-5.0,0.0,0.0,0.0,999999
